cpt_1,proc_type,procedure_group,Description
35151,Cardiovascular,039-Other major cardiovascular procedures,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, popliteal artery"
35182,Cardiovascular,039-Other major cardiovascular procedures,"Repair, congenital arteriovenous fistula; thorax and abdomen"
35201,Cardiovascular,039-Other major cardiovascular procedures,"Repair blood vessel, direct; neck"
35211,Cardiovascular,039-Other major cardiovascular procedures,"Repair blood vessel, direct; intrathoracic, with bypass"
35241,Cardiovascular,039-Other major cardiovascular procedures,"Repair blood vessel with vein graft; intrathoracic, with bypass"
35246,Cardiovascular,039-Other major cardiovascular procedures,"Repair blood vessel with vein graft; intrathoracic, without bypass"
35266,Cardiovascular,039-Other major cardiovascular procedures,Repair blood vessel with graft other than vein; upper extremity
35281,Cardiovascular,039-Other major cardiovascular procedures,Repair blood vessel with graft other than vein; intra-abdominal
35305,Cardiovascular,039-Other major cardiovascular procedures,"Thromboendarterectomy, including patch graft, if performed; tibial or peroneal artery, initial vessel"
35341,Cardiovascular,039-Other major cardiovascular procedures,"Thromboendarterectomy, including patch graft, if performed; mesenteric, celiac, or renal"
35351,Cardiovascular,039-Other major cardiovascular procedures,"Thromboendarterectomy, including patch graft, if performed; iliac"
35371,Cardiovascular,039-Other major cardiovascular procedures,"Thromboendarterectomy, including patch graft, if performed; common femoral"
35372,Cardiovascular,039-Other major cardiovascular procedures,"Thromboendarterectomy, including patch graft, if performed; deep (profunda) femoral"
35471,Cardiovascular,039-Other major cardiovascular procedures,NA
35512,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; subclavian-brachial"
35522,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; axillary-brachial"
35525,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; brachial-brachial"
35540,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; aortobifemoral"
35570,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; tibial-tibial, peroneal-tibial, or tibial/peroneal trunk-tibial"
35601,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; common carotid-ipsilateral internal carotid"
35626,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; aortosubclavian, aortoinnominate, or aortocarotid"
35645,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; subclavian-vertebral"
35656,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; femoral-popliteal"
35671,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; popliteal-tibial or -peroneal artery"
35693,Cardiovascular,039-Other major cardiovascular procedures,Transposition and/or reimplantation; vertebral to subclavian artery
35694,Cardiovascular,039-Other major cardiovascular procedures,Transposition and/or reimplantation; subclavian to carotid artery
35697,Cardiovascular,039-Other major cardiovascular procedures,"Reimplantation, visceral artery to infrarenal aortic prosthesis, each artery (List separately in addition to code for primary procedure)"
35741,Cardiovascular,039-Other major cardiovascular procedures,NA
35860,Cardiovascular,039-Other major cardiovascular procedures,"Exploration for postoperative hemorrhage, thrombosis or infection; extremity"
35876,Cardiovascular,039-Other major cardiovascular procedures,Thrombectomy of arterial or venous graft (other than hemodialysis graft or fistula); with revision of arterial or venous graft
35881,Cardiovascular,039-Other major cardiovascular procedures,"Revision, lower extremity arterial bypass, without thrombectomy, open; with segmental vein interposition"
35883,Cardiovascular,039-Other major cardiovascular procedures,"Revision, femoral anastomosis of synthetic arterial bypass graft in groin, open; with nonautogenous patch graft (eg, Dacron, ePTFE, bovine pericardium)"
35539,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; aortofemoral"
35556,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; femoral-popliteal"
35558,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; femoral-femoral"
35571,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; popliteal-tibial, -peroneal artery or other distal vessels"
35583,Cardiovascular,039-Other major cardiovascular procedures,In-situ vein bypass; femoral-popliteal
35585,Cardiovascular,039-Other major cardiovascular procedures,"In-situ vein bypass; femoral-anterior tibial, posterior tibial, or peroneal artery"
35587,Cardiovascular,039-Other major cardiovascular procedures,"In-situ vein bypass; popliteal-tibial, peroneal"
35606,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; carotid-subclavian"
35616,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; subclavian-axillary"
35621,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; axillary-femoral"
35634,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; iliorenal"
35638,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; aortobi-iliac"
35647,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; aortofemoral"
35302,Cardiovascular,039-Other major cardiovascular procedures,"Thromboendarterectomy, including patch graft, if performed; superficial femoral artery"
35311,Cardiovascular,039-Other major cardiovascular procedures,"Thromboendarterectomy, including patch graft, if performed; subclavian, innominate, by thoracic incision"
35331,Cardiovascular,039-Other major cardiovascular procedures,"Thromboendarterectomy, including patch graft, if performed; abdominal aorta"
35400,Cardiovascular,039-Other major cardiovascular procedures,Angioscopy (noncoronary vessels or grafts) during therapeutic intervention (List separately in addition to code for primary procedure)
35501,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; common carotid-ipsilateral internal carotid"
35506,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; carotid-subclavian or subclavian-carotid"
35515,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; subclavian-vertebral"
35518,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; axillary-axillary"
35523,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with vein; brachial-ulnar or -radial"
36100,Cardiovascular,039-Other major cardiovascular procedures,"Introduction of needle or intracatheter, carotid or vertebral artery"
36140,Cardiovascular,039-Other major cardiovascular procedures,"Introduction of needle or intracatheter, upper or lower extremity artery"
36145,Cardiovascular,039-Other major cardiovascular procedures,NA
36160,Cardiovascular,039-Other major cardiovascular procedures,"Introduction of needle or intracatheter, aortic, translumbar"
36200,Cardiovascular,039-Other major cardiovascular procedures,"Introduction of catheter, aorta"
36223,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, common carotid or innominate artery, unilateral, any approach, with angiography of the ipsilateral intracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the extracranial carotid and cervicocerebral arch, when performed"
36224,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, internal carotid artery, unilateral, with angiography of the ipsilateral intracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the extracranial carotid and cervicocerebral arch, when performed"
36227,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, external carotid artery, unilateral, with angiography of the ipsilateral external carotid circulation and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)"
36246,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, arterial system; initial second order abdominal, pelvic, or lower extremity artery branch, within a vascular family"
36248,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, arterial system; additional second order, third order, and beyond, abdominal, pelvic, or lower extremity artery branch, within a vascular family (List in addition to code for initial second or third order vessel as appropriate)"
36260,Cardiovascular,039-Other major cardiovascular procedures,"Insertion of implantable intra-arterial infusion pump (eg, for chemotherapy of liver)"
36262,Cardiovascular,039-Other major cardiovascular procedures,Removal of implanted intra-arterial infusion pump
33866,Cardiovascular,039-Other major cardiovascular procedures,"Aortic hemiarch graft including isolation and control of the arch vessels, beveled open distal aortic anastomosis extending under one or more of the arch vessels, and total circulatory arrest or isolated cerebral perfusion (List separately in addition to code for primary procedure)"
33870,Cardiovascular,039-Other major cardiovascular procedures,NA
33877,Cardiovascular,039-Other major cardiovascular procedures,"Repair of thoracoabdominal aortic aneurysm with graft, with or without cardiopulmonary bypass"
33889,Cardiovascular,039-Other major cardiovascular procedures,"Open subclavian to carotid artery transposition performed in conjunction with endovascular repair of descending thoracic aorta, by neck incision, unilateral"
33894,Cardiovascular,039-Other major cardiovascular procedures,"Endovascular stent repair of coarctation of the ascending, transverse, or descending thoracic or abdominal aorta, involving stent placement; across major side branches"
33926,Cardiovascular,039-Other major cardiovascular procedures,Repair of pulmonary artery arborization anomalies by unifocalization; with cardiopulmonary bypass
33927,Cardiovascular,039-Other major cardiovascular procedures,Implantation of a total replacement heart system (artificial heart) with recipient cardiectomy
33935,Cardiovascular,039-Other major cardiovascular procedures,Heart-lung transplant with recipient cardiectomy-pneumonectomy
33946,Cardiovascular,039-Other major cardiovascular procedures,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; initiation, veno-venous"
93591,Evaluation & Management,039-Other major cardiovascular procedures,"Percutaneous transcatheter closure of paravalvular leak; initial occlusion device, aortic valve"
93650,Evaluation & Management,039-Other major cardiovascular procedures,"Intracardiac catheter ablation of atrioventricular node function, atrioventricular conduction for creation of complete heart block, with or without temporary pacemaker placement"
93590,Evaluation & Management,039-Other major cardiovascular procedures,"Percutaneous transcatheter closure of paravalvular leak; initial occlusion device, mitral valve"
93657,Evaluation & Management,039-Other major cardiovascular procedures,Additional linear or focal intracardiac catheter ablation of the left or right atrium for treatment of atrial fibrillation remaining after completion of pulmonary vein isolation (List separately in addition to code for primary procedure)
93654,Evaluation & Management,039-Other major cardiovascular procedures,"Comprehensive electrophysiologic evaluation with insertion and repositioning of multiple electrode catheters, induction or attempted induction of an arrhythmia with right atrial pacing and recording and catheter ablation of arrhythmogenic focus, including intracardiac electrophysiologic 3-dimensional mapping, right ventricular pacing and recording, left atrial pacing and recording from coronary sinus or left atrium, and His bundle recording, when performed; with treatment of ventricular tachycardia or focus of ventricular ectopy including left ventricular pacing and recording, when performed"
C9603,Temp Codes (Outpatient),039-Other major cardiovascular procedures,"Percutaneous transluminal coronary atherectomy, with drug-eluting intracoronary stent, with coronary angioplasty when performed; each additional branch of a major coronary artery (list separately in addition to code for primary procedure)"
C9607,Temp Codes (Outpatient),039-Other major cardiovascular procedures,"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; single vessel"
G0365,Temp Codes (Professional),039-Other major cardiovascular procedures,NA
0075T,Temporary Code,039-Other major cardiovascular procedures,"Transcatheter placement of extracranial vertebral artery stent(s), including radiologic supervision and interpretation, open or percutaneous; initial vessel"
0049T,Temporary Code,039-Other major cardiovascular procedures,NA
33030,Cardiovascular,039-Other major cardiovascular procedures,"Pericardiectomy, subtotal or complete; without cardiopulmonary bypass"
33210,Cardiovascular,039-Other major cardiovascular procedures,Insertion or replacement of temporary transvenous single chamber cardiac electrode or pacemaker catheter (separate procedure)
33213,Cardiovascular,039-Other major cardiovascular procedures,Insertion of pacemaker pulse generator only; with existing dual leads
33215,Cardiovascular,039-Other major cardiovascular procedures,Repositioning of previously implanted transvenous pacemaker or implantable defibrillator (right atrial or right ventricular) electrode
33221,Cardiovascular,039-Other major cardiovascular procedures,Insertion of pacemaker pulse generator only; with existing multiple leads
33222,Cardiovascular,039-Other major cardiovascular procedures,Relocation of skin pocket for pacemaker
33225,Cardiovascular,039-Other major cardiovascular procedures,"Insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (eg, for upgrade to dual chamber system) (List separately in addition to code for primary procedure)"
33226,Cardiovascular,039-Other major cardiovascular procedures,"Repositioning of previously implanted cardiac venous system (left ventricular) electrode (including removal, insertion and/or replacement of existing generator)"
33227,Cardiovascular,039-Other major cardiovascular procedures,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; single lead system
33235,Cardiovascular,039-Other major cardiovascular procedures,Removal of transvenous pacemaker electrode(s); dual lead system
33240,Cardiovascular,039-Other major cardiovascular procedures,Insertion of implantable defibrillator pulse generator only; with existing single lead
33241,Cardiovascular,039-Other major cardiovascular procedures,Removal of implantable defibrillator pulse generator only
33250,Cardiovascular,039-Other major cardiovascular procedures,"Operative ablation of supraventricular arrhythmogenic focus or pathway (eg, Wolff-Parkinson-White, atrioventricular node re-entry), tract(s) and/or focus (foci); without cardiopulmonary bypass"
33254,Cardiovascular,039-Other major cardiovascular procedures,"Operative tissue ablation and reconstruction of atria, limited (eg, modified maze procedure)"
33262,Cardiovascular,039-Other major cardiovascular procedures,Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; single lead system
33264,Cardiovascular,039-Other major cardiovascular procedures,Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; multiple lead system
33265,Cardiovascular,039-Other major cardiovascular procedures,"Endoscopy, surgical; operative tissue ablation and reconstruction of atria, limited (eg, modified maze procedure), without cardiopulmonary bypass"
33269,Cardiovascular,039-Other major cardiovascular procedures,"Exclusion of left atrial appendage, thoracoscopic, any method (eg, excision, isolation via stapling, oversewing, ligation, plication, clip)"
33016,Cardiovascular,039-Other major cardiovascular procedures,"Pericardiocentesis, including imaging guidance, when performed"
33017,Cardiovascular,039-Other major cardiovascular procedures,"Pericardial drainage with insertion of indwelling catheter, percutaneous, including fluoroscopy and/or ultrasound guidance, when performed; 6 years and older without congenital cardiac anomaly"
33020,Cardiovascular,039-Other major cardiovascular procedures,Pericardiotomy for removal of clot or foreign body (primary procedure)
33050,Cardiovascular,039-Other major cardiovascular procedures,Resection of pericardial cyst or tumor
33203,Cardiovascular,039-Other major cardiovascular procedures,"Insertion of epicardial electrode(s); endoscopic approach (eg, thoracoscopy, pericardioscopy)"
33208,Cardiovascular,039-Other major cardiovascular procedures,Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial and ventricular
33217,Cardiovascular,039-Other major cardiovascular procedures,"Insertion of 2 transvenous electrodes, permanent pacemaker or implantable defibrillator"
33220,Cardiovascular,039-Other major cardiovascular procedures,Repair of 2 transvenous electrodes for permanent pacemaker or implantable defibrillator
33236,Cardiovascular,039-Other major cardiovascular procedures,"Removal of permanent epicardial pacemaker and electrodes by thoracotomy; single lead system, atrial or ventricular"
33237,Cardiovascular,039-Other major cardiovascular procedures,Removal of permanent epicardial pacemaker and electrodes by thoracotomy; dual lead system
33249,Cardiovascular,039-Other major cardiovascular procedures,"Insertion or replacement of permanent implantable defibrillator system, with transvenous lead(s), single or dual chamber"
33011,Cardiovascular,039-Other major cardiovascular procedures,NA
33015,Cardiovascular,039-Other major cardiovascular procedures,NA
33018,Cardiovascular,039-Other major cardiovascular procedures,"Pericardial drainage with insertion of indwelling catheter, percutaneous, including fluoroscopy and/or ultrasound guidance, when performed; birth through 5 years of age or any age with congenital cardiac anomaly"
33025,Cardiovascular,039-Other major cardiovascular procedures,Creation of pericardial window or partial resection for drainage
33031,Cardiovascular,039-Other major cardiovascular procedures,"Pericardiectomy, subtotal or complete; with cardiopulmonary bypass"
33120,Cardiovascular,039-Other major cardiovascular procedures,"Excision of intracardiac tumor, resection with cardiopulmonary bypass"
33130,Cardiovascular,039-Other major cardiovascular procedures,Resection of external cardiac tumor
33141,Cardiovascular,039-Other major cardiovascular procedures,"Transmyocardial laser revascularization, by thoracotomy; performed at the time of other open cardiac procedure(s) (List separately in addition to code for primary procedure)"
33211,Cardiovascular,039-Other major cardiovascular procedures,Insertion or replacement of temporary transvenous dual chamber pacing electrodes (separate procedure)
33223,Cardiovascular,039-Other major cardiovascular procedures,Relocation of skin pocket for implantable defibrillator
33224,Cardiovascular,039-Other major cardiovascular procedures,"Insertion of pacing electrode, cardiac venous system, for left ventricular pacing, with attachment to previously placed pacemaker or implantable defibrillator pulse generator (including revision of pocket, removal, insertion, and/or replacement of existing generator)"
33228,Cardiovascular,039-Other major cardiovascular procedures,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; dual lead system
33231,Cardiovascular,039-Other major cardiovascular procedures,Insertion of implantable defibrillator pulse generator only; with existing multiple leads
33233,Cardiovascular,039-Other major cardiovascular procedures,Removal of permanent pacemaker pulse generator only
33234,Cardiovascular,039-Other major cardiovascular procedures,"Removal of transvenous pacemaker electrode(s); single lead system, atrial or ventricular"
33244,Cardiovascular,039-Other major cardiovascular procedures,Removal of single or dual chamber implantable defibrillator electrode(s); by transvenous extraction
33251,Cardiovascular,039-Other major cardiovascular procedures,"Operative ablation of supraventricular arrhythmogenic focus or pathway (eg, Wolff-Parkinson-White, atrioventricular node re-entry), tract(s) and/or focus (foci); with cardiopulmonary bypass"
33256,Cardiovascular,039-Other major cardiovascular procedures,"Operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure); with cardiopulmonary bypass"
33261,Cardiovascular,039-Other major cardiovascular procedures,Operative ablation of ventricular arrhythmogenic focus with cardiopulmonary bypass
33266,Cardiovascular,039-Other major cardiovascular procedures,"Endoscopy, surgical; operative tissue ablation and reconstruction of atria, extensive (eg, maze procedure), without cardiopulmonary bypass"
33268,Cardiovascular,039-Other major cardiovascular procedures,"Exclusion of left atrial appendage, open, performed at the time of other sternotomy or thoracotomy procedure(s), any method (eg, excision, isolation via stapling, oversewing, ligation, plication, clip) (List separately in addition to code for primary procedure)"
33271,Cardiovascular,039-Other major cardiovascular procedures,Insertion of subcutaneous implantable defibrillator electrode
33275,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter removal of permanent leadless pacemaker, right ventricular, including imaging guidance (eg, fluoroscopy, venous ultrasound, ventriculography, femoral venography), when performed"
33289,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter implantation of wireless pulmonary artery pressure sensor for long-term hemodynamic monitoring, including deployment and calibration of the sensor, right heart catheterization, selective pulmonary catheterization, radiological supervision and interpretation, and pulmonary artery angiography, when performed"
33310,Cardiovascular,039-Other major cardiovascular procedures,"Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); without bypass"
33315,Cardiovascular,039-Other major cardiovascular procedures,"Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); with cardiopulmonary bypass"
33322,Cardiovascular,039-Other major cardiovascular procedures,Suture repair of aorta or great vessels; with cardiopulmonary bypass
33361,Cardiovascular,039-Other major cardiovascular procedures,Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; percutaneous femoral artery approach
33369,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; cardiopulmonary bypass support with central arterial and venous cannulation (eg, aorta, right atrium, pulmonary artery) (List separately in addition to code for primary procedure)"
33404,Cardiovascular,039-Other major cardiovascular procedures,Construction of apical-aortic conduit
33405,Cardiovascular,039-Other major cardiovascular procedures,"Replacement, aortic valve, open, with cardiopulmonary bypass; with prosthetic valve other than homograft or stentless valve"
33406,Cardiovascular,039-Other major cardiovascular procedures,"Replacement, aortic valve, open, with cardiopulmonary bypass; with allograft valve (freehand)"
33410,Cardiovascular,039-Other major cardiovascular procedures,"Replacement, aortic valve, open, with cardiopulmonary bypass; with stentless tissue valve"
33427,Cardiovascular,039-Other major cardiovascular procedures,"Valvuloplasty, mitral valve, with cardiopulmonary bypass; radical reconstruction, with or without ring"
33475,Cardiovascular,039-Other major cardiovascular procedures,"Replacement, pulmonary valve"
33500,Cardiovascular,039-Other major cardiovascular procedures,Repair of coronary arteriovenous or arteriocardiac chamber fistula; with cardiopulmonary bypass
33503,Cardiovascular,039-Other major cardiovascular procedures,"Repair of anomalous coronary artery from pulmonary artery origin; by graft, without cardiopulmonary bypass"
33506,Cardiovascular,039-Other major cardiovascular procedures,Repair of anomalous coronary artery from pulmonary artery origin; by translocation from pulmonary artery to aorta
33509,Cardiovascular,039-Other major cardiovascular procedures,"Harvest of upper extremity artery, 1 segment, for coronary artery bypass procedure, endoscopic"
33510,Cardiovascular,039-Other major cardiovascular procedures,"Coronary artery bypass, vein only; single coronary venous graft"
33533,Cardiovascular,039-Other major cardiovascular procedures,"Coronary artery bypass, using arterial graft(s); single arterial graft"
33534,Cardiovascular,039-Other major cardiovascular procedures,"Coronary artery bypass, using arterial graft(s); 2 coronary arterial grafts"
33572,Cardiovascular,039-Other major cardiovascular procedures,"Coronary endarterectomy, open, any method, of left anterior descending, circumflex, or right coronary artery performed in conjunction with coronary artery bypass graft procedure, each vessel (List separately in addition to primary procedure)"
33600,Cardiovascular,039-Other major cardiovascular procedures,Closure of atrioventricular valve (mitral or tricuspid) by suture or patch
33620,Cardiovascular,039-Other major cardiovascular procedures,"Application of right and left pulmonary artery bands (eg, hybrid approach stage 1)"
33645,Cardiovascular,039-Other major cardiovascular procedures,"Direct or patch closure, sinus venosus, with or without anomalous pulmonary venous drainage"
33681,Cardiovascular,039-Other major cardiovascular procedures,"Closure of single ventricular septal defect, with or without patch;"
33690,Cardiovascular,039-Other major cardiovascular procedures,Banding of pulmonary artery
33720,Cardiovascular,039-Other major cardiovascular procedures,"Repair sinus of Valsalva aneurysm, with cardiopulmonary bypass"
33735,Cardiovascular,039-Other major cardiovascular procedures,Atrial septectomy or septostomy; closed heart (Blalock-Hanlon type operation)
33745,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter intracardiac shunt (TIS) creation by stent placement for congenital cardiac anomalies to establish effective intracardiac flow, including all imaging guidance by the proceduralist, when performed, left and right heart diagnostic cardiac catheterization for congenital cardiac anomalies, and target zone angioplasty, when performed (eg, atrial septum, Fontan fenestration, right ventricular outflow tract, Mustard/Senning/Warden baffles); initial intracardiac shunt"
0571T,Temporary Code,039-Other major cardiovascular procedures,"Insertion or replacement of implantable cardioverter-defibrillator system with substernal electrode(s), including all imaging guidance and electrophysiological evaluation (includes defibrillation threshold evaluation, induction of arrhythmia, evaluation of sensing for arrhythmia termination, and programming or reprogramming of sensing or therapeutic parameters), when performed"
0644T,Temporary Code,039-Other major cardiovascular procedures,"Transcatheter removal or debulking of intracardiac mass (eg, vegetations, thrombus) via suction (eg, vacuum, aspiration) device, percutaneous approach, with intraoperative reinfusion of aspirated blood, including imaging guidance, when performed"
37238,Cardiovascular,039-Other major cardiovascular procedures,"Transcatheter placement of an intravascular stent(s), open or percutaneous, including radiological supervision and interpretation and including angioplasty within the same vessel, when performed; initial vein"
37241,Cardiovascular,039-Other major cardiovascular procedures,"Vascular embolization or occlusion, inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the intervention; venous, other than hemorrhage (eg, congenital or acquired venous malformations, venous and capillary hemangiomas, varices, varicoceles)"
37242,Cardiovascular,039-Other major cardiovascular procedures,"Vascular embolization or occlusion, inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the intervention; arterial, other than hemorrhage or tumor (eg, congenital or acquired arterial malformations, arteriovenous malformations, arteriovenous fistulas, aneurysms, pseudoaneurysms)"
37244,Cardiovascular,039-Other major cardiovascular procedures,"Vascular embolization or occlusion, inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the intervention; for arterial or venous hemorrhage or lymphatic extravasation"
37246,Cardiovascular,039-Other major cardiovascular procedures,"Transluminal balloon angioplasty (except lower extremity artery(ies) for occlusive disease, intracranial, coronary, pulmonary, or dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same artery; initial artery"
37247,Cardiovascular,039-Other major cardiovascular procedures,"Transluminal balloon angioplasty (except lower extremity artery(ies) for occlusive disease, intracranial, coronary, pulmonary, or dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same artery; each additional artery (List separately in addition to code for primary procedure)"
37249,Cardiovascular,039-Other major cardiovascular procedures,"Transluminal balloon angioplasty (except dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same vein; each additional vein (List separately in addition to code for primary procedure)"
37600,Cardiovascular,039-Other major cardiovascular procedures,Ligation; external carotid artery
37617,Cardiovascular,039-Other major cardiovascular procedures,"Ligation, major artery (eg, post-traumatic, rupture); abdomen"
37735,Cardiovascular,039-Other major cardiovascular procedures,"Ligation and division and complete stripping of long or short saphenous veins with radical excision of ulcer and skin graft and/or interruption of communicating veins of lower leg, with excision of deep fascia"
37766,Cardiovascular,039-Other major cardiovascular procedures,"Stab phlebectomy of varicose veins, 1 extremity; more than 20 incisions"
37790,Cardiovascular,039-Other major cardiovascular procedures,Penile venous occlusive procedure
S2205,Temp Codes (Commercial),039-Other major cardiovascular procedures,"Minimally invasive direct coronary artery bypass surgery involving mini-thoracotomy or mini-sternotomy surgery, performed under direct vision; using arterial graft(s), single coronary arterial graft"
C9602,Temp Codes (Outpatient),039-Other major cardiovascular procedures,"Percutaneous transluminal coronary atherectomy, with drug eluting intracoronary stent, with coronary angioplasty when performed; single major coronary artery or branch"
C9604,Temp Codes (Outpatient),039-Other major cardiovascular procedures,"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when performed; single vessel"
C9608,Temp Codes (Outpatient),039-Other major cardiovascular procedures,"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; each additional coronary artery, coronary artery branch, or bypass graft (list separately in addition to code for primary procedure)"
35665,Cardiovascular,039-Other major cardiovascular procedures,"Bypass graft, with other than vein; iliofemoral"
35800,Cardiovascular,039-Other major cardiovascular procedures,"Exploration for postoperative hemorrhage, thrombosis or infection; neck"
35870,Cardiovascular,039-Other major cardiovascular procedures,Repair of graft-enteric fistula
35879,Cardiovascular,039-Other major cardiovascular procedures,"Revision, lower extremity arterial bypass, without thrombectomy, open; with vein patch angioplasty"
35884,Cardiovascular,039-Other major cardiovascular procedures,"Revision, femoral anastomosis of synthetic arterial bypass graft in groin, open; with autogenous vein patch graft"
35903,Cardiovascular,039-Other major cardiovascular procedures,Excision of infected graft; extremity
35907,Cardiovascular,039-Other major cardiovascular procedures,Excision of infected graft; abdomen
36012,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, venous system; second order, or more selective, branch (eg, left adrenal vein, petrosal sinus)"
36013,Cardiovascular,039-Other major cardiovascular procedures,"Introduction of catheter, right heart or main pulmonary artery"
36215,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, arterial system; each first order thoracic or brachiocephalic branch, within a vascular family"
36222,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, common carotid or innominate artery, unilateral, any approach, with angiography of the ipsilateral extracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the cervicocerebral arch, when performed"
36228,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, each intracranial branch of the internal carotid or vertebral arteries, unilateral, with angiography of the selected vessel circulation and all associated radiological supervision and interpretation (eg, middle cerebral artery, posterior inferior cerebellar artery) (List separately in addition to code for primary procedure)"
36245,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, arterial system; each first order abdominal, pelvic, or lower extremity artery branch, within a vascular family"
36247,Cardiovascular,039-Other major cardiovascular procedures,"Selective catheter placement, arterial system; initial third order or more selective abdominal, pelvic, or lower extremity artery branch, within a vascular family"
36254,Cardiovascular,039-Other major cardiovascular procedures,"Superselective catheter placement (one or more second order or higher renal artery branches) renal artery and any accessory renal artery(s) for renal angiography, including arterial puncture, catheterization, fluoroscopy, contrast injection(s), image postprocessing, permanent recording of images, and radiological supervision and interpretation, including pressure gradient measurements when performed, and flush aortogram when performed; bilateral"
